en,fr
King was enthusiastic about the idea and the two astronomers began pressuring the Canadian Government to make it a reality.,L'idée enthousiasme King et les deux astronomes commencent à faire pression sur le gouvernement canadien pour mener à bien le projet.
"In 1913, Parliament freed up funds and Plaskett worked for the next five years on the design of a 1.83-metre telescope – the biggest in the world – for the new Dominion Astrophysical Observatory to be built in Victoria, British Columbia.","En 1913, le parlement débloque des fonds et Plaskett travaille, pendant les cinq années suivantes, à concevoir un télescope de 1,83 mètre (c'est alors le plus grand au monde) pour le nouvel Observatoire Fédéral d'Astrophysique de Victoria, en Colombie-Britannique."
The new observatory was inaugurated in 1918.,Le nouvel observatoire est inauguré en 1918 et Plaskett en devient le directeur.
Plaskett continued his work on the radial velocities of stars.,"Le télescope est, pendant quelques mois, le plus grand du monde."
"In 1922, he discovered a binary star and the larger of the two still holds the record as the most massive known binary star; it is known today as ""Plaskett’s Star"".","Plaskett continue son travail sur les vitesses radiales des étoiles et découvre, en 1922, une étoile binaire dont l'étoile principale est la plus massive connue jusqu'alors ; cette étoile est encore connue aujourd'hui sous le nom « d'étoile de Plaskett »."
"Between 1928 and 1935, Plaskett published a series of articles with Joseph Algernon Pearce on the radial velocities of stars and confirmed that our galaxy, the Milky Way, rotates.","Entre 1928 et 1935, il publie, avec Joseph Algernon Pearce, une série d'articles sur les vitesses radiales des étoiles qui confirment que notre galaxie, la Voie lactée, tourne."
"In fact, he was the first to measure the size, mass and rotational speed of the Milky Way.","En fait, il est le premier à mesurer la taille, la masse et la vitesse de rotation de notre galaxie."
"He also established that the Sun is located at 2/3 of the distance from the centre of our galaxy, and that our solar system takes approximately 220 million years to complete one galaxial rotation.",Il démontre également que le Soleil se trouve au 2/3 du centre de la galaxie et que l'astre prend environ 220 millions d'années à en faire le tour.
"He took his retirement in 1935 and died in 1941 in Esquimalt, British Columbia at the age of 75.","Il prend sa retraite en 1935 et meurt en 1941 à Esquimalt, en Colombie-Britannique, à l'âge de 75 ans."
"In 1988, the Royal Astronomical Society of Canada and the Canadian Astronomical Society created the Plaskett Medal, awarded each year to the author of the best doctoral thesis in astronomy or astrophysics at a Canadian university.","En 1988, la Société Royale d'Astronomie du Canada et la Société Canadienne d'Astronomie créent la médaille Plaskett qui est décernée à chaque année à l'auteur de la meilleure thèse de doctorat en astronomie ou astrophysique provenant d'une université canadienne."
« Return to the astronomers Next Previous © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,« Retour aux astronomes Suivant Précédent © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
"Astronomers « Return to the astronomers Clarence Augustus Chant (1865-1956) The Father  of Canadian astronomy Clarence Augustus Chant was born in 1865 at Hagerman’s Corners, Ontario.","Astronomes « Retour aux astronomes Clarence Augustus Chant (1865-1956) Il est considéré comme le père de l'astronomie au Canada Clarence Augustus Chant naît en 1865 à Hagerman's Corners, en Ontario."
He finished high school in 1884 and taught for three years at a school.,Il termine son cours secondaire en 1884 puis enseigne pendant trois ans dans une école.
He enrolled at the University of Toronto in 1887 and received his bachelor’s degree in 1890.,"En 1887, il s'inscrit à l'Université de Toronto et obtient son baccalauréat en 1890."
"He secured a job with the Department of Finance in Ottawa, but only stayed for two years.",Il décroche la même année un emploi au Département des Finances à Ottawa mais n'y reste que deux ans.
"Chant was determined to obtain a university post, and in 1892, he was hired as a lecturer for the physics department at the University of Toronto.","Chant est en effet déterminé à obtenir un poste dans une université ; en 1892, on l'engage comme chargé de cours au département de physique de l'Université de Toronto."
"In 1898, he spent the summer in Germany to study the theory of light, and in 1900 he received his Master’s degree while continuing his role as lecturer.","En 1898, il passe l'été en Allemagne pour y étudier la théorie de la lumière et en 1900, alors qu'il enseigne toujours, il obtient de l'Université de Toronto son diplôme de maîtrise."
"He left Toronto for Harvard University in the United States and returned the following year, doctoral degree in hand.","Il quitte alors Toronto pour l'Université Harvard aux États-Unis et y revient l'année suivante, en 1901, avec un diplôme de doctorat."
His interest for astronomy began in 1892 when he was hired by the physics department of the University of Toronto.,"Son intérêt pour l'astronomie remonte à 1892, année où on l'engage au département de physique de l'Université de Toronto ; il devient alors membre de la Société de Physique et d'Astronomie de Toronto."
"He joined the Physics and Astronomy Society of Toronto, which changed its name to the Astronomical Society of Toronto in 1900, and again to the Royal Astronomical Society of Canada in 1902.","En 1900, cette société change son nom pour la Société Astronomique de Toronto et en 1902, elle change de nouveau pour devenir la Société Royale d'Astronomie du Canada."
Chant acted as President from 1904 to 1907.,Chant en sera le président entre 1904 et 1907.
"In 1904, Chant suggested that the University of Toronto increase the number of astronomy courses offered by the physics department.","En 1904, Chant propose à l'Université de Toronto d'augmenter le nombre de cours d'astronomie offerts par le département de physique."
His proposal was well received and six courses were added to the program in 1905.,"Sa proposition est bien reçue et, en 1905, six cours sont ajoutés au programme."
"Until a second professor was hired in 1926, Chant was the sole Canadian professor to train professional astronomers.","Jusqu'en 1926, année où l'on engage un second professeur d'astronomie, Chant est le seul professeur au Canada à former des astronomes professionnels."
